Entity,Code,Year,Yearly burned area across other land categories,Yearly burned area across croplands,Yearly burned area across forests,Yearly burned area across savannas,Yearly burned area across shrublands and grasslands
Afghanistan,AFG,2002,0,14167.473,0,0,18052.793
Afghanistan,AFG,2003,1309.418,21680.53,0,0,112030.36
Afghanistan,AFG,2004,407.852,4357.571,0,0,24556.953
Afghanistan,AFG,2005,85.864,1395.281,0,64.398,10883.193
Afghanistan,AFG,2006,1116.2269,9809.9,0,64.398,7169.603
Afghanistan,AFG,2007,450.78302,7255.4634,0,0,4314.642
Afghanistan,AFG,2008,2339.78,17988.396,0,171.727,43232.254
Afghanistan,AFG,2009,686.908,4550.7637,0,450.783,4228.7754
Afghanistan,AFG,2010,558.113,21766.389,0,0,49457.36
Afghanistan,AFG,2011,343.45502,11977.954,0,601.044,3262.814
Afghanistan,AFG,2012,0,0,0,0,5559.6606
Afghanistan,AFG,2013,364.919,837.168,0,0,5946.045
Afghanistan,AFG,2014,64.398,150.261,0,0,965.964
Afghanistan,AFG,2015,171.727,493.715,0,0,1481.145
Afghanistan,AFG,2016,407.851,601.04504,0,300.523,3091.086
Afghanistan,AFG,2017,128.795,150.261,0,64.397995,665.44196
Afghanistan,AFG,2018,128.795,1073.293,0,0,321.989
Afghanistan,AFG,2019,0,107.329,0,0,14167.472
Afghanistan,AFG,2020,4121.4473,17516.146,0,279.057,14768.517
Afghanistan,AFG,2021,858.63403,1609.9401,0,1159.157,6375.364
Afghanistan,AFG,2022,0,21.466,0,150.261,1202.089
Africa,,2002,329887.5,19330936,15426424,122362360,123521410
Africa,,2003,414055.2,19609692,21234164,141733780,121804980
Africa,,2004,457094.25,17893840,19359508,129920984,125760140
Africa,,2005,840088.25,19829954,22737892,149149920,135480020
Africa,,2006,416996,16625014,20811888,124753670,120772490
Africa,,2007,846592.44,16122026,20970822,132494530,129604536
Africa,,2008,452264.4,15561359,22272298,134263970,124910696
Africa,,2009,292751.56,13271873,19909978,122416150,111896330
Africa,,2010,497707.66,12784813,23310022,124798280,125271280
Africa,,2011,647131.5,13887729,21987874,125452970,133986310
Africa,,2012,634702.8,12016078,21754520,121024410,117691100
Africa,,2013,478731.84,11551427,20885216,123135816,110958850
Africa,,2014,525505.94,10428998,19772340,116306600,100194690
Africa,,2015,507109.72,11043180,22093830,120888140,101979440
Africa,,2016,551951.94,14021354,23547584,127943500,105028536
Africa,,2017,453724.06,11836322,20736694,109084380,94016340
Africa,,2018,618152.6,9621904,19810848,116648810,91678744
Africa,,2019,764957.7,9541170,19635280,106203090,84918110
Africa,,2020,1333674.4,11181206,19152212,116326970,96878640
Africa,,2021,1305983.5,11241031,19105866,108026360,108920776
Africa,,2022,1071683.5,10691333,20740106,111527720,96707250
Akrotiri and Dhekelia,OWID_AKD,2002,21.466,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2003,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2004,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2005,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2006,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2007,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2008,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2009,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2010,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2011,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2012,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2013,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2014,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2015,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2016,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2017,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2018,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2019,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2020,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2021,0,0,0,0,0
Akrotiri and Dhekelia,OWID_AKD,2022,0,0,0,0,0
Aland Islands,ALA,2002,0,0,0,0,0
Aland Islands,ALA,2003,0,0,0,0,0
Aland Islands,ALA,2004,0,0,0,0,0
Aland Islands,ALA,2005,0,0,0,0,0
Aland Islands,ALA,2006,0,0,0,0,0
Aland Islands,ALA,2007,0,0,0,0,0
Aland Islands,ALA,2008,0,0,0,0,0
Aland Islands,ALA,2009,0,0,0,0,0
Aland Islands,ALA,2010,0,0,0,0,0
Aland Islands,ALA,2011,0,0,0,0,0
Aland Islands,ALA,2012,0,0,0,0,0
Aland Islands,ALA,2013,0,0,0,0,0
Aland Islands,ALA,2014,0,0,0,0,0
Aland Islands,ALA,2015,0,0,0,0,0
Aland Islands,ALA,2016,0,0,0,0,0
Aland Islands,ALA,2017,0,0,0,0,0
Aland Islands,ALA,2018,21.466,0,0,0,0
Aland Islands,ALA,2019,0,0,0,0,0
Aland Islands,ALA,2020,0,0,0,0,0
Aland Islands,ALA,2021,0,0,0,0,0
Aland Islands,ALA,2022,0,0,0,0,0
Albania,ALB,2002,0,0,0,0,0
Albania,ALB,2003,236.125,3820.9248,343.454,1888.9979,9337.652
Albania,ALB,2004,0,1073.294,0,21.466,386.38602
Albania,ALB,2005,0,3541.869,0,107.328995,5216.207
Albania,ALB,2006,0,128.795,0,321.988,944.499
Albania,ALB,2007,321.988,11398.375,1180.623,43489.85,56326.44
Albania,ALB,2008,21.466,5280.603,0,643.97705,8543.416
Albania,ALB,2009,21.466,2318.314,150.261,622.511,3327.209
Albania,ALB,2010,0,4829.82,0,558.112,4357.5723
Albania,ALB,2011,558.112,12493.136,300.523,6568.557,21487.334
Albania,ALB,2012,64.397995,257.59,944.498,17065.365,25093.604
Albania,ALB,2013,0,558.11304,0,150.261,257.59
Albania,ALB,2014,0,85.863,0,107.328995,128.795
Albania,ALB,2015,0,0,64.397995,2017.791,2103.655
Albania,ALB,2016,472.249,321.988,128.795,536.64703,1502.61
Albania,ALB,2017,64.397995,3649.197,407.852,5838.715,16700.445
Albania,ALB,2018,64.397995,1008.89496,42.932,1674.3379,1202.089
Albania,ALB,2019,0,1202.088,0,686.907,1695.8041
Albania,ALB,2020,472.249,171.727,64.398,1867.531,3456.004
Albania,ALB,2021,42.932,708.374,1695.8041,6632.9526,9509.379
Albania,ALB,2022,0,858.634,1137.6909,1717.27,3026.689
Algeria,DZA,2002,7920.907,3305.7449,4851.286,3456.005,23440.727
Algeria,DZA,2003,1953.393,18224.523,10625.606,4035.585,57464.133
Algeria,DZA,2004,5323.537,41751.11,2168.053,2618.839,62487.14
Algeria,DZA,2005,4357.57,22152.775,7641.8506,6611.49,74808.55
Algeria,DZA,2006,3928.2542,7384.259,9638.176,8307.294,24063.238
Algeria,DZA,2007,5688.455,25909.305,31855.346,14596.794,123471.67
Algeria,DZA,2008,1846.065,14146.006,17838.137,8801.005,56884.555
Algeria,DZA,2009,1910.464,20972.152,3799.459,4271.711,99988.016
Algeria,DZA,2010,2232.451,20242.314,1652.8721,2769.1,55746.86
Algeria,DZA,2011,1116.2261,8371.688,14940.244,6396.8306,32971.57
Algeria,DZA,2012,6890.5444,34882.035,31254.303,21594.664,190917.44
Algeria,DZA,2013,3112.551,9015.666,1996.327,880.1019,18975.826
Algeria,DZA,2014,10217.753,12171.1455,3820.928,3348.677,92582.29
Algeria,DZA,2015,2640.303,3627.7336,601.044,364.921,42309.22
Algeria,DZA,2016,4529.2993,6933.4746,6912.0083,4421.9707,26059.562
Algeria,DZA,2017,5731.39,9402.051,47267.84,10947.591,56755.754
Algeria,DZA,2018,42.932,4464.9023,0,42.932,965.965
Algeria,DZA,2019,3434.539,21380.004,5216.208,5430.8667,38423.902
Algeria,DZA,2020,8114.0977,21873.719,17516.146,12106.751,62122.223
Algeria,DZA,2021,6246.57,12986.851,42395.09,35096.695,53407.08
